,simplified,tags
2,打篮球,"['HSK-v2002', 'HSK.2', 'STATUS.Unique']"
3,踢足球,"['HSK-v2002', 'HSK.2', 'STATUS.Unique']"
10,弹钢琴,"['HSK-v2002', 'HSK.4', 'STATUS.Unique']"
12,放暑假,"['HSK-v2002', 'HSK.4', 'STATUS.Unique']"
24,系领带,"['HSK-v2002', 'HSK.5', 'STATUS.Unique']"
110,纽扣儿,"['HSK-v2002', 'HSK.6', 'STATUS.Unique']"
427,陆雨平,"['NPCR', 'NPCR.1', 'NPCR.1.01', 'STATUS.Unique']"
429,林娜,"['NPCR', 'NPCR.1', 'NPCR.1.01', 'STATUS.Unique']"
434,丁力波,"['NPCR', 'NPCR.1', 'NPCR.1.07', 'STATUS.Unique']"
435,贝贝,"['NPCR', 'NPCR.1', 'NPCR.1.08', 'STATUS.Unique']"
441,红葡萄酒,"['NPCR', 'NPCR.1', 'NPCR.1.09', 'STATUS.Unique']"
448,香蕉苹果,"['NPCR', 'NPCR.1', 'NPCR.1.10', 'STATUS.Unique']"
449,块(钱),"['NPCR', 'NPCR.1', 'NPCR.1.10', 'STATUS.Unique']"
450,毛(钱),"['NPCR', 'NPCR.1', 'NPCR.1.10', 'STATUS.Unique']"
451,分(钱),"['NPCR', 'NPCR.1', 'NPCR.1.10', 'STATUS.Unique']"
452,找(钱),"['NPCR', 'NPCR.1', 'NPCR.1.10', 'STATUS.Unique']"
453,(一)点儿,"['NPCR', 'NPCR.1', 'NPCR.1.11', 'STATUS.Unique']"
454,点(钟),"['NPCR', 'NPCR.1', 'NPCR.1.11', 'STATUS.Unique']"
463,家美,"['NPCR', 'NPCR.1', 'NPCR.1.13', 'STATUS.Unique']"
464,水电费,"['NPCR', 'NPCR.1', 'NPCR.1.13', 'STATUS.Unique']"
477,加元,"['NPCR', 'NPCR.2', 'NPCR.2.15', 'STATUS.Unique']"
478,亚洲学系,"['NPCR', 'NPCR.2', 'NPCR.2.15', 'STATUS.Unique']"
482,新实用汉语课本,"['NPCR', 'NPCR.2', 'NPCR.2.16', 'STATUS.Unique']"
495,建国门,"['NPCR', 'NPCR.2', 'NPCR.2.18', 'STATUS.Unique']"
503,油彩,"['NPCR', 'NPCR.2', 'NPCR.2.19', 'STATUS.Unique']"
512,花园小区,"['NPCR', 'NPCR.2', 'NPCR.2.21', 'STATUS.Unique']"
517,长安大戏院,"['NPCR', 'NPCR.2', 'NPCR.2.22', 'STATUS.Unique']"
528,小燕子,"['NPCR', 'NPCR.2', 'NPCR.2.23', 'STATUS.Unique']"
531,中国民航,"['NPCR', 'NPCR.2', 'NPCR.2.23', 'STATUS.Unique']"
537,医药费,"['NPCR', 'NPCR.2', 'NPCR.2.25', 'STATUS.Unique']"
548,一边…一边…,"['NPCR', 'NPCR.3', 'NPCR.3.27', 'STATUS.Unique']"
558,…之一,"['NPCR', 'NPCR.3', 'NPCR.3.28', 'STATUS.Unique']"
570,园艺师,"['NPCR', 'NPCR.3', 'NPCR.3.29', 'STATUS.Unique']"
573,弟子不必不如师,"['NPCR', 'NPCR.3', 'NPCR.3.29', 'STATUS.Unique']"
574,师不必贤于弟子,"['NPCR', 'NPCR.3', 'NPCR.3.29', 'STATUS.Unique']"
578,敲锣打鼓,"['NPCR', 'NPCR.3', 'NPCR.3.30', 'STATUS.Unique']"
580,扭秧歌,"['NPCR', 'NPCR.3', 'NPCR.3.30', 'STATUS.Unique']"
582,街心花园,"['NPCR', 'NPCR.3', 'NPCR.3.30', 'STATUS.Unique']"
595,南水北调,"['NPCR', 'NPCR.3', 'NPCR.3.31', 'STATUS.Unique']"
597,随炀帝,"['NPCR', 'NPCR.3', 'NPCR.3.31', 'STATUS.Unique']"
605,王兴,"['NPCR', 'NPCR.3', 'NPCR.3.32', 'STATUS.Unique']"
608,既…又…,"['NPCR', 'NPCR.3', 'NPCR.3.33', 'STATUS.Unique']"
609,木屋,"['NPCR', 'NPCR.3', 'NPCR.3.33', 'STATUS.Unique']"
611,藏趣园,"['NPCR', 'NPCR.3', 'NPCR.3.33', 'STATUS.Unique']"
615,竹叶,"['NPCR', 'NPCR.3', 'NPCR.3.33', 'STATUS.Unique']"
617,野生动物保护协会,"['NPCR', 'NPCR.3', 'NPCR.3.33', 'STATUS.Unique']"
625,两岸猿声啼不住,"['NPCR', 'NPCR.3', 'NPCR.3.34', 'STATUS.Unique']"
626,轻舟已过万崇山,"['NPCR', 'NPCR.3', 'NPCR.3.34', 'STATUS.Unique']"
632,将军服,"['NPCR', 'NPCR.3', 'NPCR.3.34', 'STATUS.Unique']"
643,除了…以外,"['NPCR', 'NPCR.3', 'NPCR.3.36', 'STATUS.Unique']"
645,床前明月光,"['NPCR', 'NPCR.3', 'NPCR.3.36', 'STATUS.Unique']"
646,疑是地上霜,"['NPCR', 'NPCR.3', 'NPCR.3.36', 'STATUS.Unique']"
647,举头望明月,"['NPCR', 'NPCR.3', 'NPCR.3.36', 'STATUS.Unique']"
648,低头思故乡,"['NPCR', 'NPCR.3', 'NPCR.3.36', 'STATUS.Unique']"
649,家书抵万金,"['NPCR', 'NPCR.3', 'NPCR.3.36', 'STATUS.Unique']"
650,唐诗选,"['NPCR', 'NPCR.3', 'NPCR.3.36', 'STATUS.Unique']"
653,僧敲月下门,"['NPCR', 'NPCR.3', 'NPCR.3.36', 'STATUS.Unique']"
655,鸟宿池边树,"['NPCR', 'NPCR.3', 'NPCR.3.36', 'STATUS.Unique']"
657,贾岛,"['NPCR', 'NPCR.3', 'NPCR.3.36', 'STATUS.Unique']"
659,越…越…,"['NPCR', 'NPCR.3', 'NPCR.3.37', 'STATUS.Unique']"
662,ＡＡ制,"['NPCR', 'NPCR.3', 'NPCR.3.37', 'STATUS.Unique']"
664,烤全羊,"['NPCR', 'NPCR.3', 'NPCR.3.37', 'STATUS.Unique']"
666,蒙族,"['NPCR', 'NPCR.3', 'NPCR.3.37', 'STATUS.Unique']"
668,肉丝炒竹笋,"['NPCR', 'NPCR.3', 'NPCR.3.37', 'STATUS.Unique']"
672,优生优育,"['NPCR', 'NPCR.3', 'NPCR.3.37', 'STATUS.Unique']"
673,巧云,"['NPCR', 'NPCR.3', 'NPCR.3.37', 'STATUS.Unique']"
676,红双喜字,"['NPCR', 'NPCR.3', 'NPCR.3.38', 'STATUS.Unique']"
682,李玉兰,"['NPCR', 'NPCR.3', 'NPCR.3.38', 'STATUS.Unique']"
686,上联,"['NPCR', 'NPCR.3', 'NPCR.3.38', 'STATUS.Unique']"
687,下联,"['NPCR', 'NPCR.3', 'NPCR.3.38', 'STATUS.Unique']"
690,飞虎旗,"['NPCR', 'NPCR.3', 'NPCR.3.38', 'STATUS.Unique']"
691,中榜,"['NPCR', 'NPCR.3', 'NPCR.3.38', 'STATUS.Unique']"
693,炒鸡丁,"['NPCR', 'NPCR.4', 'NPCR.4.39', 'STATUS.Unique']"
694,开饭馆,"['NPCR', 'NPCR.4', 'NPCR.4.39', 'STATUS.Unique']"
706,草房,"['NPCR', 'NPCR.4', 'NPCR.4.40', 'STATUS.Unique']"
707,生产队长,"['NPCR', 'NPCR.4', 'NPCR.4.40', 'STATUS.Unique']"
712,歌王,"['NPCR', 'NPCR.4', 'NPCR.4.41', 'STATUS.Unique']"
713,王洛宾,"['NPCR', 'NPCR.4', 'NPCR.4.41', 'STATUS.Unique']"
720,红烧鱼,"['NPCR', 'NPCR.4', 'NPCR.4.42', 'STATUS.Unique']"
729,缷,"['NPCR', 'NPCR.4', 'NPCR.4.42', 'STATUS.Unique']"
732,杏儿,"['NPCR', 'NPCR.4', 'NPCR.4.42', 'STATUS.Unique']"
744,咸亨酒店,"['NPCR', 'NPCR.4', 'NPCR.4.43', 'STATUS.Unique']"
747,铜把手,"['NPCR', 'NPCR.4', 'NPCR.4.43', 'STATUS.Unique']"
748,…似的,"['NPCR', 'NPCR.4', 'NPCR.4.43', 'STATUS.Unique']"
753,拉车,"['NPCR', 'NPCR.4', 'NPCR.4.43', 'STATUS.Unique']"
767,秀水街,"['NPCR', 'NPCR.4', 'NPCR.4.44', 'STATUS.Unique']"
768,市场开发部,"['NPCR', 'NPCR.4', 'NPCR.4.45', 'STATUS.Unique']"
771,顺致,"['NPCR', 'NPCR.4', 'NPCR.4.45', 'STATUS.Unique']"
772,ＡＢＣ商学院,"['NPCR', 'NPCR.4', 'NPCR.4.45', 'STATUS.Unique']"
775,头班车,"['NPCR', 'NPCR.4', 'NPCR.4.46', 'STATUS.Unique']"
782,旅游鞋,"['NPCR', 'NPCR.4', 'NPCR.4.47', 'STATUS.Unique']"
784,起名字,"['NPCR', 'NPCR.4', 'NPCR.4.47', 'STATUS.Unique']"
